taskSize,taskType,priority,resourceLoad,actualTime
2,2,2,19.04,4.601
2,3,1,36.12,9.214
1,1,3,7.02,0.473
1,1,1,65.2,1.846
1,3,5,53.92,1.392
1,1,5,32.08,0.397
3,1,2,8.14,16.841
2,2,3,22.38,4.761
3,2,1,59.27,56.863
2,1,2,45.4,3.0
3,1,4,61.41,20.144
1,1,1,14.15,0.692
1,1,1,19.68,0.703
1,1,1,7.27,0.84
1,2,2,18.61,1.158
1,2,3,43.8,0.903
1,1,1,56.13,1.332
3,1,1,16.15,13.952
1,2,3,19.74,0.99
3,1,1,16.47,16.625
2,1,1,29.86,4.525
2,1,1,23.06,3.679
2,2,3,4.36,5.114
1,1,1,43.07,0.928
2,1,1,15.27,5.773
1,2,2,47.96,1.373
3,3,1,43.03,23.458
1,2,5,10.81,0.734
1,3,4,52.23,0.763
2,2,2,46.07,9.537
2,1,2,60.13,3.464
1,1,1,18.76,0.708
2,1,2,5.37,3.188
1,1,1,43.83,0.639
2,1,2,42.33,4.391
1,1,1,43.85,0.492
1,2,3,57.49,1.603
1,2,1,9.94,1.547
1,1,2,13.97,0.482
1,2,1,6.6,1.16
1,1,1,7.77,0.545
1,2,2,12.94,1.242
1,2,2,24.51,1.397
1,1,5,17.33,0.415
1,1,1,24.99,0.869
2,3,1,12.98,3.691
3,2,2,46.28,34.733
1,2,1,50.05,1.234
3,1,4,18.69,8.537
1,1,1,16.84,0.644
1,1,4,39.81,0.791
2,3,2,9.57,3.116
2,1,1,26.08,3.914
2,1,2,10.92,2.392
1,3,2,12.45,0.578
2,1,2,17.46,4.185
1,1,1,16.66,0.887
1,2,2,48.11,1.198
1,1,3,17.95,0.481
3,3,2,30.39,21.747
1,1,2,33.58,0.518
2,2,4,34.19,5.34
2,1,2,10.63,2.027
2,3,2,20.71,3.471
2,3,1,27.63,4.311
2,3,1,31.85,5.626
1,3,1,16.63,1.184
1,2,2,50.51,1.133
1,1,3,43.82,0.659
1,1,1,8.55,0.741
1,1,3,24.96,0.533
1,1,1,41.36,0.81
1,1,1,31.76,0.948
1,2,1,22.22,0.773
1,2,2,24.11,1.054
3,3,1,14.95,20.961
1,1,1,26.17,0.708
3,2,2,36.98,24.477
3,2,2,25.69,34.327
1,3,2,15.51,0.819
2,2,1,52.5,3.083
2,1,1,8.95,3.729
2,1,1,50.51,4.742
1,3,1,15.52,1.067
1,2,2,27.45,1.649
1,3,2,20.58,0.803
2,2,4,11.46,3.244
3,2,3,8.09,26.474
2,2,1,13.42,8.41
2,3,1,10.28,4.591
3,3,4,30.59,15.082
2,1,1,5.43,3.983
1,1,2,10.27,0.479
2,1,2,20.13,3.108
1,1,2,46.62,0.722
1,3,1,60.86,1.929
1,3,1,32.16,0.938
3,1,1,28.28,16.786
1,1,1,10.65,0.747
1,2,1,38.56,2.251
1,3,2,27.07,0.989
1,2,2,2.04,1.225
1,1,1,9.58,0.829
2,1,1,65.67,5.958
2,2,5,44.22,4.67
1,2,1,1.23,1.145
1,3,1,42.35,1.145
1,3,2,28.82,0.768
1,1,1,33.65,0.743
1,1,1,27.05,0.672
2,1,1,22.85,2.895
2,1,5,23.55,1.001
1,1,2,15.15,0.595
1,1,2,45.95,1.341
1,1,4,12.94,0.489
1,3,2,39.99,0.931
3,1,1,8.07,11.713
2,3,2,23.73,3.228
3,1,2,8.63,9.271
3,1,1,34.98,21.308
2,1,3,38.9,2.528
3,1,1,4.63,19.777
1,1,1,56.97,0.508
1,3,1,39.25,0.927
1,3,1,34.45,1.356
1,1,5,18.34,0.264
1,1,2,22.3,0.438
1,1,1,20.59,0.59
2,2,2,26.92,4.22
2,1,3,43.69,3.0
1,1,2,19.82,0.341
1,3,2,30.7,1.186
2,3,3,43.77,5.654
1,2,1,25.62,1.099
1,1,2,44.26,0.443
1,1,2,1.75,0.474
1,1,3,27.91,0.675
1,2,4,8.23,0.902
2,2,4,3.06,3.316
2,1,1,25.18,3.948
2,3,3,40.74,2.648
1,1,2,19.34,0.581
2,2,1,56.24,6.316
2,1,4,12.28,2.313
1,1,4,34.99,0.448
2,1,3,9.21,2.339
1,2,1,17.03,1.189
1,1,1,18.48,0.43
1,1,4,29.1,0.478
1,2,5,9.67,0.811
1,2,1,16.67,1.226
1,2,1,44.99,2.264
1,2,2,38.66,1.166
3,2,1,14.1,30.25
1,2,2,40.04,1.495
1,1,5,29.15,0.471
1,1,1,42.89,1.175
2,1,3,21.95,1.867
1,1,2,42.51,0.612
3,1,1,14.58,17.918
1,1,2,37.92,0.811
1,1,2,15.09,0.586
1,2,3,10.81,1.649
1,2,2,10.24,1.068
2,2,4,26.23,4.568
2,3,1,2.44,3.198
1,1,5,13.22,0.444
3,1,2,27.71,15.86
1,1,1,43.04,0.904
1,2,1,77.29,6.357
1,1,1,18.08,0.65
1,3,2,39.18,1.343
2,1,4,42.28,4.013
1,1,3,18.18,0.497
1,2,1,16.89,0.855
1,1,1,5.35,0.569
1,2,2,19.84,1.436
1,2,4,16.92,0.72
2,2,3,29.06,3.637
1,2,1,50.12,1.879
1,1,1,6.36,0.517
1,1,1,24.21,0.554
1,2,2,26.95,0.879
1,1,1,38.32,1.105
2,1,1,28.18,5.141
3,1,3,51.83,12.098
1,2,2,53.6,1.808
3,1,5,27.95,10.821
1,3,3,38.85,0.678
2,1,1,14.85,2.751
2,1,1,12.62,4.832
2,1,2,5.07,2.2
2,1,3,27.04,3.269
1,1,2,25.93,0.713
1,2,4,46.56,2.352
1,1,3,34.43,0.834
1,1,2,38.86,0.462
2,1,1,33.01,2.724
1,1,1,5.68,0.561
1,3,2,13.24,0.775
1,1,1,15.39,0.44
1,2,3,47.45,1.473
2,1,2,39.69,4.027
2,1,1,19.1,3.052
1,3,3,36.72,1.136
1,1,2,47.84,1.021
1,3,1,15.21,1.151
1,1,2,43.98,1.79
2,1,2,46.24,3.097
1,3,2,41.45,1.164
1,1,1,40.73,0.719
1,3,2,11.26,0.89
3,3,2,27.1,17.949
2,1,1,53.66,4.696
1,1,1,15.76,0.52
1,3,2,17.19,0.879
1,1,1,54.39,1.911
3,2,5,36.29,13.843
1,1,1,50.79,0.519
1,1,3,41.15,0.816
3,2,5,45.0,31.861
2,2,1,41.07,16.937
1,2,2,24.06,1.088
1,2,1,50.81,1.742
1,1,2,57.78,1.248
1,1,5,52.55,0.42
1,1,5,20.26,0.309
3,1,2,25.89,19.348
3,1,3,32.23,9.628
1,2,3,2.64,0.731
2,1,1,31.38,2.511
1,1,3,35.55,0.497
1,2,1,28.34,1.202
2,1,5,25.79,1.798
1,3,4,24.38,0.567
1,1,2,24.27,0.762
1,1,1,34.37,0.748
1,3,4,6.68,0.465
1,2,1,4.05,0.913
2,3,2,18.91,3.567
2,1,2,65.52,11.819
2,1,1,24.97,3.804
2,2,1,53.45,16.814
1,1,1,27.82,0.417
2,2,5,38.92,3.052
1,1,3,24.94,0.339
1,1,3,32.91,0.571
3,1,2,34.28,18.996
1,2,2,9.93,1.287
1,1,2,24.72,0.761
1,3,2,16.35,0.971
1,1,4,23.8,0.434
1,1,1,7.62,0.578
1,1,5,25.63,0.301
2,2,4,13.19,5.603
1,3,2,11.66,0.906
1,1,5,13.23,0.326
1,1,4,28.42,0.487
2,2,1,28.32,8.707
1,1,1,21.16,0.578
1,2,3,14.44,0.981
1,2,3,37.07,1.065
2,1,1,17.4,4.597
2,2,2,0.45,4.863
1,2,2,32.84,1.492
2,1,2,11.61,2.325
1,1,1,14.71,0.514
1,1,1,15.85,0.499
1,2,3,62.1,2.436
1,2,1,43.35,1.958
1,1,2,2.43,0.757
1,1,2,52.17,1.127
1,1,5,34.32,0.439
1,1,5,35.95,0.398
1,1,4,21.79,0.589
2,1,2,56.62,6.135
2,1,1,43.1,3.471
1,2,1,69.93,2.11
1,2,2,7.5,1.078
1,1,1,34.39,0.789
1,2,1,33.22,1.744
1,1,1,79.64,2.298
1,1,1,23.3,0.576
2,3,2,45.49,3.778
2,2,4,40.84,3.069
1,1,1,27.48,0.727
1,1,1,10.14,0.987
2,2,2,37.86,6.154
1,1,1,17.48,0.672
2,3,4,47.96,4.432
1,1,2,37.11,0.723
1,1,1,36.79,0.568
1,2,3,24.99,0.821
1,2,2,9.01,0.986
3,1,2,4.41,19.264
1,3,1,6.7,1.101
3,3,1,67.56,28.273
1,1,1,53.67,1.661
2,1,3,29.67,4.613
3,1,1,26.57,19.477
1,2,1,34.02,1.185
1,2,2,10.95,1.063
2,1,2,32.65,5.291
1,3,1,35.24,0.745
3,1,5,49.18,11.094
1,3,2,60.09,1.584
1,3,4,67.94,1.039
1,1,1,34.01,0.483
2,1,2,28.18,2.37
3,1,2,19.95,10.322
1,3,2,50.23,0.994
2,1,1,21.75,5.48
3,3,1,16.5,29.267
1,1,4,47.47,0.63
1,1,3,59.13,1.132
2,3,1,26.07,4.888
2,1,1,27.7,3.46
1,2,1,63.3,2.32
2,1,2,22.24,2.833
1,1,1,24.65,0.508
3,1,3,38.63,15.477
2,1,1,20.43,2.809
2,2,3,26.27,4.339
1,1,4,19.25,0.5
1,1,1,26.64,0.472
1,1,4,48.26,0.442
1,2,4,19.63,0.802
2,3,2,14.72,2.893
1,2,1,13.9,1.028
1,3,2,3.27,0.893
1,1,1,57.71,1.038
1,1,4,42.3,0.455
1,2,2,7.55,1.234
2,1,3,9.43,1.71
2,2,2,62.31,5.912
1,2,1,40.02,1.009
2,1,2,26.46,2.656
2,3,4,39.89,2.242
1,1,1,23.0,1.123
2,2,1,19.42,3.218
1,1,5,33.6,0.471
1,2,1,37.08,1.298
1,1,4,22.41,0.462
1,3,1,17.33,0.762
2,3,3,45.42,4.277
3,2,2,39.08,23.739
2,2,1,29.04,9.17
1,2,1,7.8,0.88
1,2,1,49.06,1.671
3,2,2,10.97,43.251
1,2,1,3.38,1.378
1,3,1,27.14,0.676
1,2,2,25.92,1.599
1,1,5,16.67,0.39
1,3,1,43.75,1.012
1,1,2,12.81,0.704
1,1,4,22.63,0.64
1,3,2,41.6,0.797
1,1,5,19.22,0.327
1,1,2,26.54,0.557
1,2,2,53.76,2.041
2,3,3,35.48,5.135
1,1,1,5.1,0.745
2,1,2,11.65,2.334
2,1,2,6.39,4.338
1,1,1,26.74,0.579
2,1,2,26.23,3.411
2,1,3,16.9,2.477
1,3,1,57.81,1.035
1,2,2,21.01,1.167
1,3,1,46.02,1.238
3,3,1,18.36,25.146
2,3,2,47.87,5.449
3,2,1,33.91,36.029
3,1,2,16.84,22.122
1,3,1,62.33,1.519
2,2,4,21.45,2.682
1,1,4,39.81,0.73
2,1,1,35.57,5.12
1,1,1,29.1,0.504
1,1,1,11.69,0.498
2,2,1,45.5,7.083
2,1,3,23.5,2.125
2,1,2,24.69,2.86
1,1,2,25.51,0.583
1,3,4,34.76,0.652
3,1,3,3.4,15.65
1,1,2,20.9,1.034
1,2,2,30.79,0.846
1,3,2,38.3,0.982
1,2,2,31.72,1.644
1,2,1,5.11,1.524
1,1,1,20.84,0.478
2,3,1,43.5,5.81
3,2,1,20.38,37.341
3,2,2,7.22,20.78
1,1,3,6.85,0.438
1,2,1,23.5,1.609
2,1,5,15.43,1.608
2,1,1,37.44,4.882
1,2,4,7.99,1.12
2,2,1,66.51,13.213
2,1,1,17.96,3.111
2,3,1,62.81,10.365
2,1,1,37.97,4.68
1,2,1,20.63,1.094
1,1,2,30.07,0.679
1,1,1,18.02,0.821
1,3,1,24.13,0.984
2,1,1,39.26,3.224
2,3,2,26.82,5.173
1,1,2,30.23,0.626
2,2,1,42.9,7.236
2,1,1,32.17,2.423
2,2,3,10.31,6.177
1,3,3,60.76,1.469
2,2,2,32.64,5.488
1,1,2,9.05,0.667
1,2,1,9.56,1.516
1,2,2,8.05,1.265
2,1,3,48.57,3.35
2,2,3,2.21,3.704
1,2,1,36.25,1.232
1,2,2,43.31,1.584
2,1,2,15.28,2.172
2,1,3,55.39,7.759
1,3,2,22.5,0.872
3,2,3,24.57,31.189
2,2,1,45.05,6.238
3,3,1,12.29,21.377
3,1,1,43.15,17.823
3,1,2,10.99,9.261
2,2,2,48.67,9.408
2,2,2,47.14,11.284
1,3,2,10.5,1.295
1,2,2,15.04,1.141
2,1,2,25.11,2.825
1,1,1,49.68,1.327
2,1,1,54.84,4.274
1,3,1,6.01,0.747
1,1,3,32.74,0.58
1,2,1,41.27,1.177
1,1,1,12.21,0.539
1,1,1,37.85,1.289
1,1,2,42.2,0.593
2,2,4,13.76,4.471
1,1,4,51.09,0.504
1,3,1,40.78,1.065
1,3,2,35.36,1.014
1,1,1,23.54,0.724
1,3,3,21.95,0.561
2,1,1,25.89,4.538
2,1,1,35.73,4.141
1,1,2,54.41,0.537
1,3,2,5.96,0.912
1,2,4,30.61,0.902
1,1,1,11.0,0.634
2,2,4,41.33,5.501
1,2,1,24.78,0.822
2,2,1,10.74,4.921
1,2,3,46.44,1.372
1,3,2,29.28,0.648
1,2,4,73.5,2.39
1,1,2,30.53,0.466
3,3,2,26.1,18.986
1,1,1,15.25,0.925
2,2,4,8.03,3.177
2,2,2,2.74,5.19
1,1,2,5.81,0.474
1,1,3,38.04,0.402
1,2,1,47.56,2.089
1,3,4,9.71,0.551
2,3,2,9.92,3.833
1,2,3,32.96,1.162
3,1,3,30.47,10.996
2,1,2,31.6,2.397
1,2,3,26.96,1.052
2,1,3,26.91,4.132
1,2,1,42.09,1.734
3,1,3,44.45,10.782
1,1,2,68.87,3.744
3,2,3,17.58,16.599
2,2,3,6.78,3.035
2,2,1,3.2,8.44
1,1,1,18.68,0.556
2,3,1,8.32,3.81
1,1,3,22.18,0.719
2,2,4,14.54,5.81
1,2,3,63.0,1.64
1,1,3,74.26,1.614
1,2,2,23.7,1.791
1,2,2,29.44,0.855
1,2,5,6.92,0.673
2,2,1,24.14,5.746
1,1,2,62.64,0.722
2,3,1,38.37,7.086
1,1,1,36.47,1.143
2,1,2,30.93,3.982
2,2,1,27.71,7.659
1,1,2,85.83,1.563
2,3,1,48.56,6.993
3,1,1,61.15,35.685
2,1,1,28.51,6.938
1,1,4,37.6,0.333
1,1,2,15.09,0.511
2,1,3,37.98,2.993
1,1,2,19.79,0.682
2,1,1,53.8,8.754
1,1,2,46.98,1.156
2,1,1,22.53,3.234
1,1,1,18.16,0.793
1,1,2,27.55,0.624
3,1,3,39.12,16.666
2,1,4,3.26,2.636
2,1,1,10.51,1.8
3,1,2,32.24,15.06
1,1,2,21.66,0.478
1,3,3,59.72,0.873
1,1,4,43.07,0.481
1,1,2,27.71,0.39
1,2,1,27.66,1.852
3,1,3,25.36,25.792
1,1,2,3.9,0.599
1,2,4,10.99,1.118
1,2,2,13.98,0.907
1,3,4,41.32,1.1
1,3,1,14.0,0.775
2,2,3,16.38,4.049
1,2,1,17.03,1.261
2,1,2,6.91,4.282
2,3,4,20.8,3.918
2,2,2,48.53,12.393
2,1,3,9.36,1.833
1,1,1,21.68,0.524
1,2,1,16.89,1.077
1,2,2,38.54,2.052
3,3,2,37.63,27.773
2,1,1,37.96,2.433
1,3,3,45.17,0.842
1,1,2,41.47,0.625
2,2,1,32.07,6.619
2,1,1,32.01,7.21
1,1,1,26.78,0.686
2,1,2,59.42,4.549
2,1,4,46.33,2.109
2,1,2,10.44,3.513
1,3,1,19.98,0.863
1,1,3,3.37,0.418
3,2,1,28.21,37.739
1,2,2,39.24,1.198
1,1,2,12.09,0.556
1,3,4,24.59,0.461
1,2,3,47.01,0.71
2,2,1,63.04,15.205
1,3,1,27.4,1.053
2,2,1,6.23,6.264
1,3,1,7.26,0.822
1,1,1,25.58,0.615
1,1,2,23.07,0.634
2,2,3,32.45,6.423
1,1,1,28.57,0.816
1,2,2,34.13,1.018
2,1,4,32.56,3.291
1,1,2,31.33,0.68
1,3,2,28.58,0.853
1,1,3,34.6,0.517
2,1,3,20.48,2.353
1,2,2,80.57,3.09
1,2,5,20.52,0.476
1,3,1,39.16,0.962
1,1,1,35.98,0.686
1,3,2,46.97,1.017
1,2,1,56.0,2.19
1,3,1,49.09,0.811
1,1,1,29.12,1.171
2,1,2,31.1,3.308
1,2,2,26.91,1.342
1,2,3,49.72,1.86
3,1,1,30.02,29.631
2,2,2,44.35,7.584
2,2,1,42.74,6.023
1,1,1,34.9,0.551
1,2,2,16.91,1.196
1,1,1,44.51,0.814
1,3,2,6.87,1.071
1,2,2,3.36,0.892
1,2,2,63.81,1.425
1,3,2,9.77,0.594
2,2,4,7.01,6.397
1,1,1,6.36,0.922
1,2,4,17.59,0.621
2,3,1,24.37,4.216
2,1,2,42.43,3.451
1,2,4,32.98,0.554
1,1,1,32.87,0.746
1,3,3,34.65,0.955
1,2,2,17.52,1.096
2,3,4,13.07,2.653
1,2,1,38.21,1.324
1,1,2,27.89,0.578
1,2,1,14.95,1.259
1,3,1,31.73,1.478
1,1,2,5.22,0.533
1,1,3,17.8,0.432
3,2,3,32.05,19.692
2,2,3,35.64,9.524
1,1,3,6.99,0.752
1,1,2,29.67,0.651
2,1,1,74.38,8.283
1,2,3,29.32,0.959
1,1,2,45.58,0.576
2,1,1,36.77,4.025
1,3,2,7.54,0.545
1,1,1,65.57,0.992
1,2,3,19.24,0.835
1,1,1,54.68,1.551
1,1,2,47.39,0.86
2,2,3,28.67,3.906
1,2,5,38.44,1.111
1,3,2,21.19,0.769
2,1,4,38.92,2.03
1,1,2,46.52,1.011
1,1,1,34.77,0.827
1,2,1,43.01,0.804
2,1,1,29.68,3.883
1,3,1,17.53,0.742
2,2,2,61.98,7.362
2,1,1,10.25,3.055
2,1,3,34.63,1.793
3,1,1,7.07,14.866
2,2,1,81.96,18.426
2,2,2,2.25,4.361
2,3,4,11.04,2.614
2,2,4,7.28,3.876
2,1,4,49.38,3.742
3,1,4,18.66,12.405
1,1,1,13.01,0.573
2,3,2,6.91,3.534
1,2,1,30.66,0.883
2,3,4,62.83,4.237
1,3,1,28.93,1.372
2,1,2,50.77,3.231
2,2,1,6.98,7.574
3,2,4,22.94,14.774
1,1,1,52.99,1.323
2,1,4,51.81,3.627
2,2,4,36.13,7.644
3,3,1,40.48,12.779
3,1,3,18.06,10.271
1,3,1,20.57,1.358
1,3,2,66.17,1.603
1,3,1,26.73,1.085
3,1,2,32.55,12.845
1,1,1,27.83,0.546
2,2,3,3.7,5.793
2,1,3,31.76,2.877
1,1,1,12.69,1.402
1,2,1,42.05,1.645
1,1,1,37.88,1.035
2,1,1,5.38,4.079
1,3,5,33.04,0.621
1,1,1,22.77,0.86
2,3,3,48.39,7.388
1,1,4,44.42,0.587
2,1,1,36.96,3.44
1,1,2,9.37,0.722
1,1,4,30.28,0.766
1,1,2,30.43,0.545
1,3,1,34.39,1.657
1,3,3,16.58,0.508
2,1,4,6.16,2.157
1,1,3,44.58,0.435
1,2,3,28.53,0.615
1,1,3,36.69,0.582
1,1,2,49.76,1.03
3,1,1,1.67,15.256
1,1,4,35.94,0.901
3,2,1,37.21,24.654
1,1,3,36.0,0.616
1,2,1,17.65,1.018
1,1,2,25.44,0.564
1,1,3,36.96,0.517
2,2,3,23.28,4.358
1,1,1,49.67,0.942
1,3,2,9.03,0.567
2,2,1,19.02,7.908
2,3,1,19.14,5.985
3,1,2,29.7,16.352
3,1,5,26.94,8.883
2,1,5,40.42,2.112
2,2,2,15.6,6.686
2,2,3,32.32,3.989
1,1,1,27.55,0.843
2,1,1,10.96,3.021
1,1,3,11.35,0.457
2,1,3,49.88,3.657
3,1,3,47.18,18.374
1,2,1,12.28,0.853
2,3,1,62.26,5.765
3,1,1,45.69,18.217
1,1,3,20.32,0.565
1,1,1,19.2,0.432
3,1,2,34.8,21.812
3,2,2,27.31,41.887
1,1,1,31.54,0.604
1,3,1,9.0,0.852
2,3,3,43.94,6.113
1,1,1,23.15,0.684
1,3,2,41.6,0.911
1,2,5,57.94,1.514
1,3,1,52.8,2.051
1,1,1,2.24,0.579
2,3,2,44.24,4.303
2,1,2,53.05,5.414
2,1,5,22.84,1.597
1,3,1,45.7,0.873
1,1,4,42.98,0.482
1,1,2,18.21,0.467
1,1,1,55.72,0.709
1,1,2,34.02,1.092
1,1,2,14.99,0.432
1,1,1,7.89,0.66
1,2,1,55.74,1.05
2,3,1,41.42,9.074
2,1,2,39.62,3.788
3,3,1,31.83,36.177
2,2,1,37.81,5.839
1,2,1,26.41,2.449
1,2,3,10.73,0.697
1,3,5,26.04,0.582
1,1,1,14.09,0.372
1,2,5,10.58,0.574
1,3,2,34.68,0.888
1,2,4,58.99,1.379
1,1,2,53.67,0.798
2,2,2,43.52,8.066
2,2,3,28.4,4.407
2,1,2,37.49,5.531
2,2,4,11.32,4.319
1,3,4,26.79,0.43
1,2,2,68.28,2.59
2,1,2,42.54,3.825
1,2,2,25.43,0.616
1,2,2,16.68,1.546
1,1,2,20.02,0.47
3,2,2,36.83,32.001
2,1,1,38.43,4.64
1,3,5,29.11,0.52
2,2,1,38.11,9.353
1,3,1,15.84,1.072
1,2,1,33.62,1.477
1,1,1,28.11,0.565
1,2,2,2.98,1.057
2,1,1,28.21,5.031
1,2,1,44.21,1.561
2,1,1,61.8,3.676
1,2,1,34.82,1.972
2,2,5,11.34,2.87
2,1,2,14.31,3.619
2,1,1,25.28,3.082
2,1,2,27.88,3.706
3,1,2,15.78,13.337
1,1,2,27.32,0.543
2,3,1,35.16,5.933
2,3,2,33.26,3.557
1,3,1,19.75,0.576
1,1,1,12.39,0.78
1,1,5,21.66,0.322
1,1,2,23.81,0.67
1,2,1,5.7,1.236
1,2,1,25.06,1.53
2,2,3,26.25,6.318
1,1,1,7.47,0.726
2,2,1,66.36,15.231
1,3,1,27.49,1.207
2,1,1,30.24,3.222
1,3,2,79.18,1.562
1,2,1,50.3,2.185
1,1,2,47.65,0.491
2,3,1,50.6,4.317
1,3,5,8.52,0.316
3,2,2,25.51,36.539
1,1,1,8.69,0.832
1,1,1,29.29,0.927
1,2,3,10.76,0.92
2,1,3,69.56,4.665
1,1,1,71.2,1.361
1,1,1,33.43,0.864
1,1,2,20.64,0.724
1,2,1,28.74,0.979
1,2,1,25.08,1.545
3,1,1,28.27,23.553
1,2,3,18.34,1.147
1,1,1,29.1,0.492
3,1,1,15.1,19.098
1,1,1,37.03,0.794
1,1,2,27.61,0.98
2,1,2,22.57,2.984
3,2,2,24.07,35.913
2,1,2,25.15,4.626
1,2,2,56.17,2.332
3,1,2,59.16,20.61
1,2,5,26.86,0.797
3,2,4,34.03,17.55
2,1,1,45.39,3.862
3,2,2,11.89,32.921
1,2,1,29.14,1.348
1,1,1,55.87,1.054
2,2,1,4.38,8.299
1,2,3,30.17,1.523
1,1,4,14.86,0.338
3,3,2,22.25,19.745
2,1,3,33.63,2.677
1,2,1,14.1,1.131
1,3,4,25.42,0.8
1,3,1,13.9,1.013
1,2,4,19.85,0.542
1,2,1,13.75,1.556
2,1,1,28.69,3.252
2,1,2,38.67,4.19
1,3,1,24.4,1.101
1,1,1,4.61,0.764
2,3,2,28.83,3.637
2,1,3,31.07,3.285
2,1,1,41.02,5.58
1,1,2,66.94,1.152
2,2,2,16.33,4.791
1,1,1,10.36,0.524
1,1,2,31.29,1.107
2,3,2,24.21,2.975
1,2,4,3.82,0.631
1,2,2,19.92,1.157
1,1,2,22.33,0.478
1,1,2,24.85,1.008
1,2,3,32.95,0.759
2,1,3,57.84,4.709
1,1,2,18.01,0.752
1,3,1,45.12,0.82
2,1,4,28.04,1.928
1,3,2,34.95,0.943
3,1,2,2.79,12.065
1,1,2,5.99,0.632
1,1,1,34.64,0.74
1,3,2,30.24,0.887
2,2,2,24.59,6.748
1,2,1,35.11,1.11
3,1,1,18.63,16.335
1,3,3,50.53,0.933
1,2,2,12.35,0.853
1,2,3,16.33,1.13
1,2,1,14.44,0.81
1,2,2,59.16,1.167
1,2,1,51.04,2.281
1,1,3,46.55,0.462
2,3,2,40.8,8.274
1,1,2,21.17,0.421
1,3,5,24.38,0.736
1,1,1,9.81,0.805
1,1,2,6.13,0.409
1,1,3,27.88,0.567
2,2,2,33.51,4.137
1,1,2,59.85,0.789
2,3,5,5.76,2.062
1,2,2,27.13,0.663
1,1,1,10.91,0.559
2,2,1,19.38,5.778
1,2,4,27.63,0.804
1,3,1,32.59,0.67
3,1,2,13.48,12.546
3,3,4,34.7,16.919
2,1,3,29.85,3.492
1,2,1,25.5,2.487
1,2,3,14.25,1.196
3,1,1,15.83,12.861
3,1,4,24.76,9.664
1,2,2,22.07,1.215
1,1,2,23.76,0.865
1,1,1,26.27,1.142
1,1,1,16.64,0.442
2,2,2,31.19,7.922
1,1,3,24.15,0.388
1,1,2,25.81,0.588
1,3,4,16.54,0.722
1,2,1,15.38,0.986
1,2,1,44.46,1.406
1,2,2,51.72,3.072
1,1,2,12.78,0.851
3,1,2,15.66,15.848
1,1,1,53.88,0.573
1,1,1,23.42,0.459
1,1,2,42.63,0.811
1,2,4,21.03,0.913
1,1,3,43.54,0.745
1,1,3,20.95,0.408
1,3,2,30.84,0.852
1,1,3,28.52,0.748
2,2,3,57.24,7.418
1,1,1,52.76,0.771
1,2,1,25.3,1.311
1,1,4,11.44,0.48
1,1,4,64.56,0.748
1,3,3,5.91,0.696
1,1,1,33.64,0.739
1,1,3,21.54,0.369
1,1,1,26.33,0.659
3,2,1,14.61,36.493
3,1,2,26.35,13.763
3,2,2,32.13,51.463
1,2,1,38.7,0.859
1,2,2,47.7,1.743
1,3,3,17.61,0.781
1,1,1,70.45,0.964
1,3,1,40.04,1.085
1,1,2,18.91,0.348
1,1,4,37.47,0.543
1,2,4,4.38,0.697
1,2,1,29.98,1.48
2,1,2,57.64,6.159
1,3,3,7.95,0.625
2,3,1,23.3,3.378
1,1,2,44.69,0.527
1,2,2,11.1,0.809
1,2,2,15.03,1.141
1,3,1,20.53,0.959
1,2,1,7.85,0.717
1,1,1,45.12,1.619
2,2,2,15.45,5.71
1,1,1,28.88,0.644
1,2,2,5.96,0.882
3,2,2,31.94,25.741
1,2,1,11.24,1.554
1,1,1,66.17,1.801
1,1,1,16.47,0.654
1,2,5,42.3,1.156
1,1,1,19.73,0.83
1,1,2,40.39,0.71
2,1,2,36.53,4.911
1,3,1,7.91,1.125
1,1,4,13.84,0.571
1,2,2,13.76,1.204
3,2,2,17.85,29.339
2,3,1,25.57,3.691
3,2,1,31.01,19.013
2,1,1,41.53,4.697
2,1,2,55.37,4.472
1,1,4,27.55,0.428
3,3,2,2.36,13.468
1,2,1,22.99,1.524
1,2,1,47.89,1.628
2,2,1,10.56,4.679
1,3,1,23.32,0.764
1,3,1,18.83,0.676
1,2,5,31.71,0.674
1,1,2,40.92,0.756
2,1,1,32.62,4.395
1,2,1,56.58,1.079
2,2,2,16.88,5.535
1,2,1,35.47,0.915
2,1,4,7.25,1.943
1,2,2,18.33,1.195
3,1,2,4.59,13.152
1,1,3,18.35,0.314
1,3,1,7.23,0.765
1,2,1,67.05,4.369
1,1,2,33.55,0.92
1,1,1,29.65,1.451
2,2,1,8.91,5.977
3,1,4,43.57,11.209
2,1,3,31.98,2.618
1,2,1,51.25,1.928
1,2,4,30.33,0.81
2,1,1,17.84,4.013
2,2,3,31.62,6.112
1,2,2,14.1,0.754
3,1,2,21.27,18.263
1,1,2,41.5,0.805
2,1,1,31.44,5.887
3,1,4,23.5,14.314
2,3,1,22.21,6.005
1,1,4,18.35,0.435
1,3,1,41.3,0.754
1,1,1,18.8,0.941
2,2,1,13.2,7.103
1,2,1,21.0,1.905
2,2,2,17.55,4.789
3,3,2,37.45,25.023
1,2,3,57.51,1.61
1,1,2,13.72,0.506
2,3,2,29.5,2.724
1,3,1,36.04,0.949
1,3,2,22.94,0.657
1,1,4,40.78,0.821
1,1,1,36.33,0.895
2,1,1,26.79,3.174
1,2,1,40.05,2.19
1,1,1,71.06,2.086
1,1,2,23.57,0.651
1,2,1,23.93,1.273
